分类,标题第1行,标题第2行,直播时间,站内标
主题课程 - 双十一,大促规划与目标拆解,,9月23日 14:00-15:30,1
主题课程 - 双十一,大促活动机制的,高效策划,9月24日 14:00-15:30,1
主题课程 - 双十一,大促爆款爆发策略,,9月25日 14:00-15:30,1
主题课程 - 双十一,全域趋势种草,助力大促回淘打爆计划,9月26日 14:00-15:30,1
主题课程 - 双十一,大促期间会员老客,有效激活策略,9月27日 14:00-15:30,1
主题课程 - 双十一,万相台大促蓄力拉新,,9月28日 14:00-15:30,1
主题课程 - 双十一,万相台大促成交抢跑,,10月9日 14:00-15:30,1
主题课程 - 双十一,大促活动视觉,提效策略,10月10日 14:00-15:30,1
主题课程 - 双十一,大促自播促转化,达播合作提效能,10月11日 14:00-15:30,1
主题课程 - 双十一,大促有效承流,客服全面备战,10月12日 14:00-15:30,1
主题课程 - 双十一, 万相台大促深耕增量,,10月17日 14:00-15:00,1
主题课程 - 双十一,科学规划店播冲刺节奏,提升运营转化效率,10月24日 14:00-15:00,1
主题课程 - 双十一,大促有效承流,促中客服现场管理,10月31日 14:00-15:00,1
主题课程 - 双十一,多维大促复盘助力提效,,11月12日 14:00-15:30,1
主题课程 - 双十一,大促期间沉淀人群的,持续运营,11月14日 14:00-16:00,1
主题课程 - 双十一,赢在双11,实现生意爆发式增长,,1
主题课程 - 双十一,大促玩法及营销资源,选择技巧,,1
主题课程 - 双十一,大促备货技巧,,,1
主题课程 - 双十一,三招降低退款率,,,1
主题课程 - 双十一,大促店铺核心数据,监控与调优,,1
